Year,Populasi
2010,43227100
2011,43923600
2012,44620100
2013,45316600
2014,46013100
2015,46709600
2016,47354820
2017,48000040
2018,48645260
2019,49290480
2020,49935700
2021,50505700
2022,51075700
2023,51645700
2024,52215700
2025,52785700
2026,53267320
2027,53748940
2028,54230560
2029,54712180
2030,55193800
