Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total Kebutuhan Lahan (ha),LPC,LRC
Tanaman Pangan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,311498,353585.5,860460,0,0,0,0,0,0,0,0,0,1525543.5,10.37113965,0.096421419
Tanaman Hortikultura,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,311498,353585.5,0,0,0,0,0,0,0,0,0,0,665083.5,37.44925609,0.0267028
Perkebunan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,128658,145317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273975,25.06263431,0.039900036
Peternakan,Pertanian Kehutanan dan Perikanan,0,136,0,0,0,0,1250,0,0,0,0,2237,2524,740,0,0,0,0,0,0,0,0,0,6887,2376.263361,0.000420829
Jasa Pertanian dan Perburuan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kehutanan dan Penebangan Kayu,Pertanian Kehutanan dan Perikanan,1328,16153.55405,0,0,0,122,176929,16109,1315,0,0,0,68969,0,0,0,0,0,350,0,0,0,0,281275.554,1.997417954,0.500646346
Perikanan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,436.3333333,0,0,0,0,0,0,0,0,44100,0,0,0,0,10352.33333,0,0,0,54888.66667,240.0703878,0.004165445
Pertambangan Minyak Gas dan Panas Bumi,Pertambangan dan Penggalian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,0,0,609,19743.43491,5.06E-05
Pertambangan Bijih Logam,Pertambangan dan Penggalian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,0,0,609,166.8775965,0.005992416
Pertambangan dan Penggalian Lainnya,Pertambangan dan Penggalian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,0,0,609,5475.444102,0.000182634
Industri Batubara dan Pengilangan Migas,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7868.613323,0,0,0,0,0,0,0,7868.613323,5701.623114,0.000175389
Industri Makanan dan Minuman,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7868.613323,0,0,0,0,0,0,0,7868.613323,16257.40288,6.15E-05
Pengolahan Tembakau,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7868.613323,0,0,0,0,0,0,0,7868.613323,420.3669736,0.002378874
Industri Tekstil dan Pakaian Jadi,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7868.613323,0,0,0,0,0,0,0,7868.613323,18647.79957,5.36E-05
Industri Kulit Barang dari Kulit dan Alas Kaki,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7868.613323,0,0,0,0,0,0,0,7868.613323,2025.09351,0.000493804
Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7868.613323,0,0,0,0,0,0,0,7868.613323,1339.378129,0.000746615
Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7868.613323,0,0,0,0,0,0,0,7868.613323,1539.926468,0.000649382
Industri Kimia Farmasi dan Obat Tradisional,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7868.613323,0,0,0,0,0,0,0,7868.613323,4406.106802,0.000226958
Industri Karet Barang dari Karet dan Plastik,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7868.613323,0,0,0,0,0,0,0,7868.613323,1356.000423,0.000737463
Industri Barang Galian bukan Logam,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7868.613323,0,0,0,0,0,0,0,7868.613323,216.3280037,0.00462261
