F_Type,Em_F
Padat_Ditimbun_di_TPA,0.002289
Padat_Ditimbun_Lubang,0.001827
Padat_Kompos,9.33E-11
Padat_3R,0
Padat_ins_sampah_domestik,7.3487E-05
Padat_ins_sampah_industri,0.000035977
Padat_dibakar_terbuka,0.000428126
Padat_tidak_terkelola,0.000924
Cair_septic_tank,0.002089835
Cair_MCK_plus,0.000732035
Cair_IPAL_Aerob,0.001546715
Cair_IPAL_Anaerob,0.002904515
Cair_tidak_terkelola,0.001003595
Cair_Biogas,0.000732035
Cair_Pengolahan_KIMIA,0.000732035
Cair_3R,0.000732035
