ID,Sektor,Total_Kons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
41,Informasi dan Komunikasi,1606.476954,0,0.00E+00,0,0,1088.097672,0,0,50.89689004,11.78103379,0,31.29417348,14.42382263,0,0,0,2.200157698,0,0,407.7832044,0,0,0,0,0,0,0
42,Jasa Perantara Keuangan,767.0162472,0,0,0,0,519.5148246,0,0,24.30084136,5.624882637,0,14.94147765,6.886688465,0,0,0.00E+00,1.050470532,0,0.00E+00,194.697062,0,0,0,0,0,0,0
43,Asuransi dan Dana Pensiun,80.91334712,0,0,0,0,54.80416286,0,0,2.563521202,0.59337476,0,1.576192124,0.726483978,0,0,0,0.110815236,0,0.00E+00,20.53879696,0,0,0,0,0,0,0
44,Jasa Keuangan Lainnya,120.3075982,0,0,0,0,81.48664517,0,0,3.811621812,0.882270907,0,2.343592195,1.080186961,0,0,0.00E+00,1.65E-01,0,0.00E+00,30.53851336,0,0,0,0,0,0,0
45,Jasa Penunjang Keuangan,13.31420323,0,0,0,0,9.017965367,0,0,0.421824624,0.097639171,0,0.259360699,0.119542148,0,0,0,0.018234527,0,0,3.379636691,0,0,0,0,0,0,0
46,Real Estate,12.94479858,0,0,0,0,0.36496885,0.793593736,0,2.054848655,0.475633018,0,1.263432604,0.272486682,0,0,8.03E-05,0.000737975,0,0.015407623,7.703609182,0,0,0,0,0,0,0
47,Jasa Perusahaan,405.3808338,0,0,0,0,24.6582717,53.61731547,0,83.59353322,19.34928123,0,51.39784628,5.899197442,0,0,0.00542256,0.049859574,0,0.030903766,166.7792025,0,0,0,0,0,0,0
48,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1548.082002,0,0,0,0,209.5072226,455.5556442,0,231.9676684,53.69324014,0,142.6263265,15.30985439,0,0,0.046072393,0.423628265,0,6.119687259,432.8326574,0,0,0,0,0,0,0
49,Jasa Pendidikan,734.3861037,0,0,0,0,175.2889653,381.1509529,0,14.68694582,3.399567337,0,9.030332306,2.400919707,0,0,0.038547511,0.354438187,0,80.15781604,67.8776186,0,0,0,0,0,0,0
50,Jasa Kesehatan dan Kegiatan Sosial,903.0843843,0,0,0,0,194.8403574,423.6637926,0,35.47547141,8.211459029,0,21.81224739,6.200643793,0,0,0.042847026,0.393971537,0,37.14204894,175.3015452,0,0,0,0,0,0,0
51,Jasa lainnya,1114.269374,0,0,0,0,167.3789258,363.9512444,0,43.40022909,10.04579189,0,26.684819,16.98201158,0,0,0.036808027,0.338443912,0,5.344038571,480.1070614,0,0,0,0,0,0,0
52,Lainnya,0.639007597,0,0,0,0,0.095987925,0.208717583,0,0.024889023,0.005761028,0,0.015303124,0.009738789,0,0,2.11E-05,0.00019409,0,0.003064682,0.275330245,0,0,0,0,0,0,0
