fd_2016,fd_2017,fd_2018,fd_2019,fd_2020,fd_2021,fd_2022,fd_2023,fd_2024,fd_2025,fd_2026,fd_2027,fd_2028,fd_2029,fd_2030
131879.25,138473.22,145396.88,152666.72,160300.06,168315.06,176730.81,185567.35,194845.72,204588.01,214817.41,225558.28,236836.19,248678.00,261111.90
45.95,48.25,50.66,53.19,55.85,58.64,61.57,64.65,67.89,71.28,74.84,78.59,82.52,86.64,90.97
13993299.94,14692964.93,15427613.18,16198993.84,17008943.53,17859390.71,18752360.24,19689978.25,20674477.17,21708201.03,22793611.08,23933291.63,25129956.21,26386454.02,27705776.72
1744608.77,1831839.21,1923431.17,2019602.73,2120582.86,2226612.00,2337942.60,2454839.73,2577581.72,2706460.81,2841783.85,2983873.04,3133066.69,3289720.03,3454206.03
5543669.06,5820852.51,6111895.14,6417489.90,6738364.39,7075282.61,7429046.74,7800499.08,8190524.03,8600050.23,9030052.75,9481555.38,9955633.15,10453414.81,10976085.55
60300317.40,63315333.27,66481099.93,69805154.92,73295412.67,76960183.30,80808192.47,84848602.09,89091032.20,93545583.81,98222863.00,103134006.15,108290706.46,113705241.78,119390503.87
38111510.15,40017085.65,42017939.94,44118836.93,46324778.78,48641017.72,51073068.60,53626722.04,56308058.14,59123461.04,62079634.10,65183615.80,68442796.59,71864936.42,75458183.24
18212296.58,19122911.41,20079056.98,21083009.83,22137160.32,23244018.33,24406219.25,25626530.21,26907856.72,28253249.56,29665912.04,31149207.64,32706668.02,34342001.42,36059101.49
3065142.37,3218399.49,3379319.46,3548285.44,3725699.71,3911984.69,4107583.93,4312963.13,4528611.28,4755041.85,4992793.94,5242433.63,5504555.32,5779783.08,6068772.24
3324184.62,3490393.85,3664913.54,3848159.22,4040567.18,4242595.54,4454725.31,4677461.58,4911334.66,5156901.39,5414746.46,5685483.78,5969757.97,6268245.87,6581658.16
66558.70,69886.64,73380.97,77050.02,80902.52,84947.64,89195.03,93654.78,98337.52,103254.39,108417.11,113837.97,119529.87,125506.36,131781.68
14291847.23,15006439.60,15756761.58,16544599.65,17371829.64,18240421.12,19152442.17,20110064.28,21115567.50,22171345.87,23279913.17,24443908.82,25666104.27,26949409.48,28296879.95
3240196.70,3402206.54,3572316.86,3750932.71,3938479.34,4135403.31,4342173.47,4559282.15,4787246.25,5026608.57,5277939.00,5541835.95,5818927.74,6109874.13,6415367.84
57310957.75,60176505.63,63185330.91,66344597.46,69661827.33,73144918.70,76802164.64,80642272.87,84674386.51,88908105.84,93353511.13,98021186.68,102922246.02,108068358.32,113471776.24
59781416.40,62770487.22,65909011.59,69204462.17,72664685.27,76297919.54,80112815.51,84118456.29,88324379.10,92740598.06,97377627.96,102246509.36,107358834.83,112726776.57,118363115.40
22576934.45,23705781.17,24891070.23,26135623.74,27442404.93,28814525.17,30255251.43,31768014.00,33356414.70,35024235.44,36775447.21,38614219.57,40544930.55,42572177.08,44700785.93
30712712.56,32259758.57,33884156.87,35589775.10,37380674.23,39423464.26,41568393.80,43820569.81,46185354.62,48668378.67,51275553.92,54013087.94,56887498.66,59905629.91,63074667.73
29504.97,30980.22,32529.23,34155.69,35863.47,37656.65,39539.48,41516.45,43592.28,45771.89,48060.48,50463.51,52986.68,55636.02,58417.82
